================================================================================
未归类药物清单
================================================================================

Health 组未归类药物（按使用频率排序）:
================================================================================

   1. 	                                                  (使用 1,760,637 次)
   2. 氯化钠注射液	                                            (使用 165,702 次)
   3. 氯化钠注射液(科伦)	                                        (使用 154,235 次)
   4. 氯化钠	                                               (使用 87,892 次)
   5. 阿托伐他汀钙(阿托伐他汀钙(齐鲁))	                                (使用 44,726 次)
   6. 氯化钾注射液	                                            (使用 42,909 次)
   7. 氯化钾注射液(科伦)	                                        (使用 37,635 次)
   8. 氯化钾	                                               (使用 30,947 次)
   9. 葡萄糖注射液	                                            (使用 26,823 次)
  10. 复方氯化钠注射液	                                          (使用 25,198 次)
  11. 复方氯化钠注射液(科伦)	                                      (使用 25,190 次)
  12. NA	                                                (使用 25,013 次)
  13. 葡萄糖注射液(科伦)	                                        (使用 23,982 次)
  14. 葡萄糖氯化钠注射液	                                         (使用 18,915 次)
  15. 葡萄糖氯化钠注射液(科伦)	                                     (使用 18,906 次)
  16. 注射用泮托拉唑钠	                                          (使用 18,863 次)
  17. 优泌乐	                                               (使用 15,937 次)
  18. 泮托拉唑(希洛施)	                                         (使用 15,531 次)
  19. 盐酸利多卡因注射液	                                         (使用 13,997 次)
  20. 葡萄糖	                                               (使用 13,798 次)
  21. 肝素钠注射液(千红)	                                        (使用 13,575 次)
  22. 肝素钠注射液	                                            (使用 13,575 次)
  23. 阿司匹林肠溶片	                                           (使用 13,201 次)
  24. 拜阿司匹灵	                                             (使用 13,044 次)
  25. 复方氯化钠	                                             (使用 12,761 次)
  26. 诺和锐	                                               (使用 12,597 次)
  27. 苯磺酸氨氯地平片	                                          (使用 12,194 次)
  28. 阿托伐他汀	                                             (使用 11,337 次)
  29. 盐酸利多卡因注射液(中南,科伦)	                                  (使用 10,937 次)
  30. 安达唐	                                               (使用 10,672 次)
  31. 麝香保心	                                              (使用 10,638 次)
  32. 丙泊酚中/长链脂肪乳注射液	                                     (使用 10,500 次)
  33. 来得时	                                               (使用 10,023 次)
  34. 苯磺酸氨氯地平片(京新)	                                      (使用 9,885 次)
  35. 葡萄糖氯化钠	                                            (使用 9,681 次)
  36. 硫酸氯吡格雷片	                                           (使用 9,602 次)
  37. 竟安	                                                (使用 9,586 次)
  38. 泮托拉唑	                                              (使用 9,489 次)
  39. 乳果糖口服溶液	                                           (使用 9,126 次)
  40. 弥可保	                                               (使用 8,959 次)
  41. 氯吡格雷(氯吡格雷(石药))	                                    (使用 8,259 次)
  42. 倍他乐克	                                              (使用 8,186 次)
  43. 琥珀酸美托洛尔缓释片	                                        (使用 8,186 次)
  44. 人血白蛋白	                                             (使用 8,104 次)
  45. 硫酸阿托品注射液	                                          (使用 7,973 次)
  46. 长秀霖	                                               (使用 7,745 次)
  47. 利多卡因	                                              (使用 7,600 次)
  48. 补达秀	                                               (使用 7,577 次)
  49. 氯化钾缓释片	                                            (使用 7,577 次)
  50. 亿恒	                                                (使用 7,224 次)
  51. 贝希	                                                (使用 7,203 次)
  52. 咪达唑仑注射液	                                           (使用 6,890 次)
  53. 力月西	                                               (使用 6,890 次)
  54. 肝素钠	                                               (使用 6,826 次)
  55. 碘克沙醇注射液	                                           (使用 6,804 次)
  56. 甲钴胺(弥可保)	                                          (使用 6,774 次)
  57. 阿司匹林	                                              (使用 6,654 次)
  58. 舒芬尼	                                               (使用 6,606 次)
  59. 枸橼酸舒芬太尼注射液	                                        (使用 6,606 次)
  60. 吲哚美辛栓	                                             (使用 6,573 次)
  61. 重酒石酸去甲肾上腺素注射液	                                     (使用 6,529 次)
  62. 重酒石酸去甲肾上腺素注射液(远大)	                                 (使用 6,529 次)
  63. 呋塞米片	                                              (使用 6,523 次)
  64. 碘海醇	                                               (使用 6,374 次)
  65. 美托洛尔	                                              (使用 6,301 次)
  66. 丙泊酚中/长链脂肪乳	                                        (使用 6,223 次)
  67. 氯化钠注射液(国镜)	                                        (使用 6,217 次)
  68. 杜密克	                                               (使用 6,204 次)
  69. 氨氯地平	                                              (使用 6,136 次)
  70. 诺欣妥	                                               (使用 5,900 次)
  71. 沙库巴曲缬沙坦钠片	                                         (使用 5,900 次)
  72. 普米克令舒	                                             (使用 5,783 次)
  73. 吸入用布地奈德混悬液	                                        (使用 5,783 次)
  74. 灭菌注射用水	                                            (使用 5,775 次)
  75. 维生素c注射液	                                           (使用 5,775 次)
  76. 地塞米松磷酸钠注射液	                                        (使用 5,712 次)
  77. 开塞露(含甘油)(运佳,黄浦)	                                   (使用 5,672 次)
  78. 开塞露(含甘油)	                                          (使用 5,672 次)
  79. 欧唐宁	                                               (使用 5,589 次)
  80. 卡双平	                                               (使用 5,344 次)
  81. 地塞米松磷酸钠注射液(遂成)	                                    (使用 5,282 次)
  82. 吲哚美辛栓(马应龙)	                                        (使用 5,161 次)
  83. 利伐沙班片	                                             (使用 5,080 次)
  84. 拜瑞妥	                                               (使用 5,080 次)
  85. 罗库溴铵注射液	                                           (使用 5,076 次)
  86. 注射用头孢美唑钠	                                          (使用 5,064 次)
  87. 螺内酯片	                                              (使用 5,059 次)
  88. 呋塞米	                                               (使用 4,967 次)
  89. 氯吡格雷	                                              (使用 4,839 次)
  90. 甲钴胺	                                               (使用 4,785 次)
  91. 注射用甲泼尼龙琥珀酸钠	                                       (使用 4,713 次)
  92. 舒敏	                                                (使用 4,707 次)
  93. 乳果糖	                                               (使用 4,592 次)
  94. 氯化钠注射液(民生)	                                        (使用 4,587 次)
  95. 碘海醇注射液	                                            (使用 4,561 次)
  96. 二甲硅油(健能)	                                          (使用 4,529 次)
  97. 维生素b6注射液	                                          (使用 4,477 次)
  98. 凯特力	                                               (使用 4,469 次)
  99. 吸入用七氟烷	                                            (使用 4,469 次)
 100. 帕瑞昔布	                                              (使用 4,430 次)
 101. 异甘草酸镁(天晴甘美)	                                       (使用 4,384 次)
 102. 那屈肝素钙注射液	                                          (使用 4,378 次)
 103. 硫酸阿托品注射液(金耀)	                                      (使用 4,270 次)
 104. 注射用头孢美唑钠(倍特)	                                      (使用 4,216 次)
 105. 捷诺维	                                               (使用 4,201 次)
 106. 非布司他片	                                             (使用 4,190 次)
 107. 优立通	                                               (使用 4,190 次)
 108. 拜唐苹	                                               (使用 4,159 次)
 109. 爱全乐	                                               (使用 4,153 次)
 110. 吸入用异丙托溴铵溶液	                                        (使用 4,153 次)
 111. 阿托品	                                               (使用 4,152 次)
 112. 注射用头孢呋辛钠(惠迪森)	                                     (使用 4,130 次)
 113. 注射用头孢呋辛钠	                                          (使用 4,130 次)
 114. 维生素c注射液(倍特)	                                       (使用 4,124 次)
 115. 依诺肝素钠注射液	                                          (使用 4,089 次)
 116. 倍欣	                                                (使用 3,989 次)
 117. 钙尔奇d	                                              (使用 3,977 次)
 118. 碳酸钙d3片	                                            (使用 3,977 次)
 119. 头孢地尼	                                              (使用 3,932 次)
 120. 二甲硅油	                                              (使用 3,926 次)
 121. 青霉素皮试剂	                                            (使用 3,920 次)
 122. 创可贴	                                               (使用 3,890 次)
 123. 苯扎氯铵贴	                                             (使用 3,890 次)
 124. 罗库溴铵注射液(峨眉山,通惠)	                                   (使用 3,833 次)
 125. 奥美拉唑肠溶胶囊	                                          (使用 3,827 次)
 126. 依托咪酯乳状注射液	                                         (使用 3,824 次)
 127. 福尔利	                                               (使用 3,824 次)
 128. 碘克沙醇注射液(恒瑞)	                                       (使用 3,809 次)
 129. 盐酸罗哌卡因注射液	                                         (使用 3,801 次)
 130. 速碧林	                                               (使用 3,747 次)
 131. 注射用帕瑞昔布钠	                                          (使用 3,724 次)
 132. 复方α-酮酸片	                                           (使用 3,701 次)
 133. 开同	                                                (使用 3,695 次)
 134. 盐酸曲马多注射液	                                          (使用 3,679 次)
 135. 克赛	                                                (使用 3,672 次)
 136. 注射用哌拉西林钠他唑巴坦钠(8:1)	                                (使用 3,637 次)
 137. 硫酸阿托品注射液(禾丰)	                                      (使用 3,631 次)
 138. 浓氯化钠注射液(天圣)	                                       (使用 3,595 次)
 139. 浓氯化钠注射液	                                           (使用 3,595 次)
 140. 硝酸甘油注射液(白云山,明兴)	                                   (使用 3,579 次)
 141. 硝酸甘油注射液	                                           (使用 3,579 次)
 142. 左氧氟沙星	                                             (使用 3,500 次)
 143. 复方聚乙二醇电解质散(ⅰ)	                                     (使用 3,492 次)
 144. 恒康正清	                                              (使用 3,492 次)
 145. 咪达唑仑	                                              (使用 3,486 次)
 146. 硝酸甘油	                                              (使用 3,484 次)
 147. 诺和达	                                               (使用 3,468 次)
 148. 注射用头孢唑林钠	                                          (使用 3,432 次)
 149. 注射用头孢唑林钠(金素,金城)	                                   (使用 3,432 次)
 150. 碘克沙醇	                                              (使用 3,426 次)
 151. 百赛诺	                                               (使用 3,413 次)
 152. 双环醇片	                                              (使用 3,413 次)
 153. 注射用盐酸瑞芬太尼	                                         (使用 3,398 次)
 154. 罗沙司他(爱瑞卓)	                                         (使用 3,388 次)
 155. 吲哚美辛	                                              (使用 3,372 次)
 156. 舒芬太尼	                                              (使用 3,347 次)
 157. 呋塞米注射液	                                            (使用 3,333 次)
 158. 去甲肾上腺素	                                            (使用 3,314 次)
 159. 艾司唑仑片	                                             (使用 3,311 次)
 160. 艾司唑仑片(信谊)	                                         (使用 3,311 次)
 161. 螺内酯片(民生)	                                          (使用 3,244 次)
 162. 瑞舒伐他汀钙片	                                           (使用 3,232 次)
 163. 地塞米松	                                              (使用 3,175 次)
 164. 复方氯化铵(棕铵)	                                         (使用 3,172 次)
 165. 艾司奥美拉唑	                                            (使用 3,160 次)
 166. 盐酸坦洛新缓释胶囊	                                         (使用 3,074 次)
 167. 肠内营养(TPF-D)(瑞代)	                                   (使用 3,070 次)
 168. 盐酸利多卡因注射液(遂成)	                                     (使用 3,060 次)
 169. 布地奈德	                                              (使用 3,053 次)
 170. 卓坦	                                                (使用 3,028 次)
 171. 奥美拉唑	                                              (使用 3,002 次)
 172. 甲泼尼龙	                                              (使用 3,001 次)
 173. 威视派克	                                              (使用 2,995 次)
 174. 二甲硅油(二甲硅油)	                                        (使用 2,977 次)
 175. 沙库巴曲缬沙坦	                                           (使用 2,964 次)
 176. 维生素c	                                              (使用 2,950 次)
 177. 命得生	                                               (使用 2,918 次)
 178. 盐酸昂丹司琼注射液	                                         (使用 2,910 次)
 179. 开塞露	                                               (使用 2,888 次)
 180. 舒普深	                                               (使用 2,887 次)
 181. 拉韦	                                                (使用 2,866 次)
 182. 艾瑞昔布(恒扬)	                                          (使用 2,856 次)
 183. 头孢哌酮舒巴坦(舒普深)	                                      (使用 2,856 次)
 184. 瑞舒伐他汀钙片(京新)	                                       (使用 2,790 次)
 185. 呋塞米片(力生)	                                          (使用 2,753 次)
 186. 奥美拉唑肠溶胶囊(海灵)	                                      (使用 2,750 次)
 187. 塞来昔布胶囊	                                            (使用 2,732 次)
 188. 西乐葆	                                               (使用 2,732 次)
 189. 甲钴胺注射液	                                            (使用 2,722 次)
 190. 乙酰左卡尼汀(斯考特)	                                       (使用 2,722 次)
 191. 培菲康	                                               (使用 2,683 次)
 192. 枢丹	                                                (使用 2,666 次)
 193. 富露施	                                               (使用 2,656 次)
 194. 双歧杆菌三联活菌胶囊	                                        (使用 2,632 次)
 195. 头孢美唑	                                              (使用 2,621 次)
 196. 氨溴索	                                               (使用 2,605 次)
 197. 维生素b6注射液(瑞阳)	                                      (使用 2,593 次)
 198. 罗库溴铵	                                              (使用 2,560 次)
 199. 利伐沙班	                                              (使用 2,558 次)
 200. 呋塞米片(朝晖)	                                          (使用 2,549 次)
 201. 肠内营养(TP)(安素)	                                      (使用 2,546 次)
 202. 羟乙基淀粉130/0.4氯化钠注射液	                                (使用 2,545 次)
 203. 螺内酯	                                               (使用 2,539 次)
 204. 莱意	                                                (使用 2,516 次)
 205. 氟马西尼注射液	                                           (使用 2,516 次)
 206. 孚来迪	                                               (使用 2,512 次)
 207. 碳酸氢钠注射液	                                           (使用 2,498 次)
 208. 碳酸氢钠注射液(天瑞)	                                       (使用 2,498 次)
 209. 注射用泮托拉唑钠(通德)	                                      (使用 2,490 次)
 210. 优泌乐25	                                             (使用 2,478 次)
 211. 呋喃西林	                                              (使用 2,456 次)
 212. 枸橼酸莫沙必利片	                                          (使用 2,448 次)
 213. 维生素b6	                                             (使用 2,441 次)
 214. 切诺	                                                (使用 2,426 次)
 215. 桉柠蒎肠溶软胶囊	                                          (使用 2,426 次)
 216. 快力	                                                (使用 2,422 次)
 217. 曲马多	                                               (使用 2,398 次)
 218. 敏使朗	                                               (使用 2,391 次)
 219. 甲磺酸倍他司汀片	                                          (使用 2,391 次)
 220. 灭菌注射用水(四药)	                                        (使用 2,385 次)
 221. 厄贝沙坦片	                                             (使用 2,360 次)
 222. 地奥司明片	                                             (使用 2,355 次)
 223. 地奥司明片(马应龙)	                                        (使用 2,355 次)
 224. 瑞捷	                                                (使用 2,317 次)
 225. 盐酸右美托咪定注射液	                                        (使用 2,295 次)
 226. 赛维	                                                (使用 2,278 次)
 227. 盐酸溴己新葡萄糖注射液	                                       (使用 2,278 次)
 228. 瑞巴派特片	                                             (使用 2,276 次)
 229. 为快乐	                                               (使用 2,276 次)
 230. 艾托格列净(捷诺妥)	                                        (使用 2,262 次)
 231. 七氟烷	                                               (使用 2,255 次)
 232. 替普瑞酮胶囊	                                            (使用 2,232 次)
 233. 卡介菌纯蛋白衍生物	                                         (使用 2,230 次)
 234. 泽普思	                                               (使用 2,217 次)
 235. 氟比洛芬巴布膏	                                           (使用 2,217 次)
 236. 醋酸泼尼松片(仙琚)	                                        (使用 2,210 次)
 237. 醋酸泼尼松片	                                            (使用 2,210 次)
 238. 那屈肝素钙	                                             (使用 2,206 次)
 239. 厄贝沙坦氢氯噻嗪片	                                         (使用 2,193 次)
 240. 依伦平	                                               (使用 2,193 次)
 241. 头孢呋辛	                                              (使用 2,191 次)
 242. 盐酸乙哌立松片	                                           (使用 2,190 次)
 243. 硫酸沙丁胺醇注射液	                                         (使用 2,180 次)
 244. 妙纳	                                                (使用 2,176 次)
 245. 盐酸甲氧氯普胺注射液	                                        (使用 2,171 次)
 246. 盐酸甲氧氯普胺注射液(遂成)	                                    (使用 2,171 次)
 247. 捷诺达	                                               (使用 2,166 次)
 248. 诺和锐30	                                             (使用 2,157 次)
 249. 盐酸氨溴索注射液	                                          (使用 2,155 次)
 250. 氯沙坦钾片	                                             (使用 2,147 次)
 251. 倍怡	                                                (使用 2,147 次)
 252. 力蜚能	                                               (使用 2,140 次)
 253. 多糖铁复合物胶囊	                                          (使用 2,140 次)
 254. 佑苏	                                                (使用 2,125 次)
 255. 格列美脲片	                                             (使用 2,125 次)
 256. 注射用奥美拉唑钠	                                          (使用 2,121 次)
 257. 异丙托溴铵	                                             (使用 2,104 次)
 258. 非布司他	                                              (使用 2,103 次)
 259. 安内真	                                               (使用 2,101 次)
 260. 复方聚乙二醇电解质	                                         (使用 2,084 次)
 261. 施维舒	                                               (使用 2,077 次)
 262. 富马酸比索洛尔片	                                          (使用 2,076 次)
 263. 依诺肝素	                                              (使用 2,067 次)
 264. 注射用艾司奥美拉唑钠	                                        (使用 2,060 次)
 265. 亚宁定	                                               (使用 2,058 次)
 266. 盐酸乌拉地尔注射液	                                         (使用 2,058 次)
 267. 注射用奥美拉唑钠(亚太)	                                      (使用 2,031 次)
 268. 缬沙坦氨氯地平片(i)	                                       (使用 2,027 次)
 269. 倍博特	                                               (使用 2,027 次)
 270. 苏莱乐	                                               (使用 2,024 次)
 271. 自备药（口服）	                                           (使用 2,018 次)
 272. 缬沙坦片	                                              (使用 1,998 次)
 273. 缬沙坦片(华海)	                                          (使用 1,998 次)
 274. 碳酸钙d3	                                             (使用 1,996 次)
 275. 齐索	                                                (使用 1,961 次)
 276. 苯扎氯铵	                                              (使用 1,956 次)
 277. 甲硫酸新斯的明注射液(金朱,信谊)	                                 (使用 1,951 次)
 278. 甲硫酸新斯的明注射液	                                        (使用 1,951 次)
 279. 吸入用乙酰半胱氨酸溶液	                                       (使用 1,945 次)
 280. 安来	                                                (使用 1,944 次)
 281. 环硅酸锆钠(利倍卓)	                                        (使用 1,942 次)
 282. 西甲硅油(柏西)	                                          (使用 1,932 次)
 283. 依托咪酯	                                              (使用 1,929 次)
 284. 罗哌卡因	                                              (使用 1,924 次)
 285. 呋塞米注射液(金耀,天药)	                                     (使用 1,921 次)
 286. 注射用托拉塞米(斯达)	                                       (使用 1,894 次)
 287. 注射用托拉塞米	                                           (使用 1,894 次)
 288. 赛机宁	                                               (使用 1,891 次)
 289. 顺苯磺阿曲库铵注射液	                                        (使用 1,891 次)
 290. 非奈利酮(可申达)	                                         (使用 1,888 次)
 291. 维生素b6注射液(常州制药)	                                    (使用 1,884 次)
 292. 钠石灰	                                               (使用 1,882 次)
 293. 碳酸氢钠	                                              (使用 1,875 次)
 294. 乌拉地尔	                                              (使用 1,874 次)
 295. 甘露醇注射液	                                            (使用 1,867 次)
 296. 盐酸托烷司琼注射液	                                         (使用 1,864 次)
 297. 复方α-酮酸	                                            (使用 1,859 次)
 298. 哌拉西林他唑巴坦	                                          (使用 1,837 次)
 299. 甘露醇注射液(百特)	                                        (使用 1,824 次)
 300. 康复新液	                                              (使用 1,820 次)
 301. 螺内酯片(同洲,海神)	                                       (使用 1,815 次)
 302. 乙酰半胱氨酸	                                            (使用 1,807 次)
 303. 氟比洛芬	                                              (使用 1,799 次)
 304. 注射用水溶性维生素	                                         (使用 1,790 次)
 305. v佳林	                                               (使用 1,790 次)
 306. 诺和力	                                               (使用 1,786 次)
 307. 非那雄胺片	                                             (使用 1,781 次)
 308. 艾仕列	                                               (使用 1,781 次)
 309. 头孢唑林	                                              (使用 1,778 次)
 310. 孟鲁司特钠片(滨江,民生)	                                     (使用 1,758 次)
 311. 孟鲁司特钠片	                                            (使用 1,758 次)
 312. 瑞芬太尼	                                              (使用 1,729 次)
 313. 替格瑞洛片	                                             (使用 1,722 次)
 314. 万汶	                                                (使用 1,722 次)
 315. 瑞舒伐他汀	                                             (使用 1,719 次)
 316. 海博麦布(赛斯美)	                                         (使用 1,714 次)
 317. 双环醇	                                               (使用 1,714 次)
 318. 葡萄糖注射液(费森尤斯,卡比)	                                   (使用 1,707 次)
 319. 维瑞特	                                               (使用 1,702 次)
 320. 头孢哌酮舒巴坦	                                           (使用 1,695 次)
 321. 艾司唑仑	                                              (使用 1,676 次)
 322. 注射用头孢曲松钠	                                          (使用 1,670 次)
 323. 硝苯地平(心痛定)	                                         (使用 1,667 次)
 324. 硝苯地平(信谊,天平)	                                       (使用 1,667 次)
 325. 维生素c注射液(常州制药)	                                     (使用 1,651 次)
 326. 复方甲氧那明胶囊	                                          (使用 1,651 次)
 327. 维他利匹特	                                             (使用 1,643 次)
 328. 脂溶性维生素(维他利匹特)	                                     (使用 1,630 次)
 329. 青霉素	                                               (使用 1,629 次)
 330. 氯化钙注射液(天成)	                                        (使用 1,628 次)
 331. 氯化钙注射液	                                            (使用 1,628 次)
 332. 加巴喷丁胶囊	                                            (使用 1,611 次)
 333. 派汀	                                                (使用 1,611 次)
 334. 洛索洛芬	                                              (使用 1,606 次)
 335. 硝苯地平	                                              (使用 1,601 次)
